Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,playerid
Mike Trout,Angels,159,686,538,159,30,3,45,124,115,128,140,13,17,4,0.296,0.439,0.614,1.053,0.427,-0.9,3.4,9.1,10155
Alex Bregman,Astros,152,658,548,158,38,2,33,107,105,95,86,9,8,3,0.287,0.398,0.546,0.943,0.393,-0.3,0.3,6.6,17678
Cody Bellinger,Dodgers,152,658,560,162,32,4,42,107,121,90,125,4,14,4,0.29,0.389,0.585,0.973,0.394,3.4,1.5,6.5,15998
Francisco Lindor,Indians,154,665,595,172,38,2,33,107,89,56,95,5,21,6,0.289,0.353,0.527,0.88,0.362,8.4,1,5.8,12916
Christian Yelich,Brewers,154,665,568,172,35,4,36,108,106,83,137,7,24,5,0.304,0.397,0.569,0.966,0.397,0.8,4,5.7,11477
Matt Chapman,Athletics,156,672,589,148,36,4,35,98,98,69,165,9,3,2,0.252,0.337,0.505,0.843,0.351,11.7,0.7,5.7,16505
Anthony Rendon,Angels,154,665,573,161,38,2,28,96,103,75,99,9,5,2,0.28,0.368,0.503,0.872,0.363,4.9,0.7,5.5,12861
Aaron Judge,Yankees,149,644,534,137,23,1,40,103,99,98,201,6,6,3,0.257,0.375,0.531,0.906,0.376,10.2,0.1,5.5,15640
Mookie Betts,Dodgers,154,665,575,165,37,4,31,114,88,77,95,5,18,4,0.287,0.373,0.53,0.903,0.374,6.5,4.2,5.4,13611
Juan Soto,Nationals,156,672,555,163,32,4,36,108,118,109,127,3,10,3,0.294,0.41,0.561,0.971,0.402,-1.5,0.6,5.4,20123
Jose Ramirez,Indians,152,658,575,161,41,4,31,98,104,72,85,5,27,7,0.28,0.361,0.525,0.887,0.367,3.5,4.4,5.4,13510
Carlos Correa,Astros,149,644,559,152,32,2,32,90,111,73,144,4,3,1,0.271,0.356,0.506,0.862,0.359,-0.6,0.7,5.1,14162
Yasmani Grandal,White Sox,136,544,452,107,20,1,25,69,71,84,132,3,3,2,0.237,0.358,0.455,0.813,0.346,5.7,-2.6,5.1,11368
Nolan Arenado,Rockies,157,679,601,179,37,3,40,103,121,68,108,4,3,2,0.297,0.369,0.57,0.938,0.383,7.5,0.2,5.1,9777
George Springer,Astros,149,644,556,152,26,2,34,106,93,73,130,8,7,4,0.273,0.364,0.51,0.873,0.366,-0.3,0.1,4.9,12856
Josh Donaldson,Twins,147,637,531,138,29,1,33,94,98,95,149,6,4,2,0.26,0.376,0.504,0.88,0.37,2,-0.4,4.9,5038
Ronald Acuna Jr.,Braves,154,665,583,166,28,3,37,110,96,69,162,7,31,10,0.284,0.366,0.531,0.897,0.373,2.1,3.3,4.8,18401
Marcus Semien,Athletics,156,672,593,161,35,4,26,96,81,69,109,2,12,5,0.272,0.347,0.476,0.823,0.346,-0.5,0.8,4.7,12533
Xander Bogaerts,Red Sox,154,665,588,170,41,2,26,97,100,66,117,5,7,2,0.29,0.364,0.499,0.863,0.362,-3.8,1.4,4.6,12161
Kris Bryant,Cubs,151,651,553,151,33,3,31,99,85,76,145,16,5,2,0.272,0.373,0.507,0.88,0.369,-1.7,1.9,4.5,15429
Jose Altuve,Astros,152,658,590,177,32,3,25,98,88,54,94,7,15,5,0.3,0.363,0.494,0.858,0.36,-3.3,-0.3,4.5,5417
Ozzie Albies,Braves,154,665,607,176,39,7,25,98,84,48,101,5,15,4,0.29,0.344,0.502,0.847,0.352,5.7,2.7,4.4,16556
J.T. Realmuto,Phillies,139,552,501,137,30,3,24,75,80,39,112,7,7,2,0.273,0.331,0.488,0.819,0.341,5.6,1.8,4.4,11739
Freddie Freeman,Braves,156,672,578,171,38,3,33,101,109,82,128,7,7,3,0.296,0.387,0.543,0.931,0.383,3.4,0.3,4.4,5361
Gleyber Torres,Yankees,152,658,589,165,28,1,40,96,113,56,136,5,7,3,0.279,0.344,0.534,0.878,0.362,-7.9,0,4.4,16997
Rafael Devers,Red Sox,149,644,588,174,42,3,32,101,104,47,114,3,9,5,0.296,0.35,0.539,0.889,0.366,-1.9,0.6,4.3,17350
Ketel Marte,Diamondbacks,156,672,605,178,35,9,24,92,84,57,93,4,10,3,0.295,0.357,0.499,0.856,0.357,1.3,1.2,4.3,13613
Manny Machado,Padres,157,679,607,164,30,2,36,90,102,63,122,4,7,3,0.271,0.34,0.505,0.845,0.349,4.5,-0.5,4.3,11493
Bryce Harper,Phillies,154,665,545,141,30,1,39,103,110,109,170,5,13,4,0.259,0.384,0.533,0.917,0.377,-0.5,0.7,4.2,11579
Trevor Story,Rockies,154,665,597,165,37,5,37,100,103,57,181,6,21,7,0.277,0.344,0.541,0.884,0.365,3.1,1.6,4.2,12564
Yoan Moncada,White Sox,151,651,581,157,30,4,27,90,84,59,180,5,13,5,0.271,0.341,0.479,0.82,0.344,1.7,1.7,4.1,17232
Anthony Rizzo,Cubs,156,672,567,161,33,3,31,94,106,78,95,22,6,4,0.284,0.388,0.516,0.904,0.378,4.2,-2.2,4.1,3473
Corey Seager,Dodgers,141,609,545,152,38,2,22,83,88,53,114,5,2,1,0.279,0.345,0.475,0.82,0.343,2.1,1.1,4,13624
Trea Turner,Nationals,152,658,594,170,34,6,21,100,72,53,127,4,42,8,0.286,0.347,0.469,0.816,0.344,-1.3,5.8,3.9,16252
Fernando Tatis Jr.,Padres,149,644,577,157,25,8,30,94,85,52,177,8,24,9,0.273,0.34,0.498,0.838,0.349,-3.7,1.7,3.9,19709
Justin Turner,Dodgers,139,602,525,149,31,1,24,82,82,56,93,15,3,1,0.283,0.365,0.485,0.85,0.358,-1.1,-0.6,3.8,5235
Jeff McNeil,Mets,147,637,575,167,35,4,20,85,75,40,83,16,8,4,0.291,0.351,0.472,0.823,0.347,0.9,0.5,3.8,15362
Matt Olson,Athletics,152,658,575,146,31,0,39,92,108,69,167,9,1,0,0.254,0.341,0.514,0.855,0.354,6.7,-0.5,3.7,14344
Bo Bichette,Blue Jays,146,630,574,158,37,4,22,87,82,46,117,3,28,11,0.276,0.332,0.468,0.8,0.336,0.2,0.9,3.7,19612
Yordan Alvarez,Astros,138,595,516,145,30,1,37,91,109,70,146,3,4,2,0.282,0.368,0.56,0.928,0.379,0,-0.3,3.7,19556
Javier Baez,Cubs,154,665,621,170,36,5,34,93,107,34,177,4,15,7,0.273,0.313,0.512,0.825,0.338,1.1,1.2,3.7,12979
Giancarlo Stanton,Yankees,134,581,505,133,24,1,45,92,114,64,175,6,2,1,0.262,0.349,0.58,0.93,0.378,0.1,-0.2,3.6,4949
Joey Gallo,Rangers,149,644,534,121,24,2,49,102,108,98,237,8,8,3,0.227,0.354,0.554,0.908,0.372,-0.3,1.9,3.6,14128
Pete Alonso,Mets,154,665,577,146,28,2,45,95,110,68,171,16,1,1,0.253,0.345,0.543,0.888,0.365,1.2,-0.8,3.6,19251
Max Kepler,Twins,144,623,545,140,33,2,30,91,88,65,108,7,4,3,0.257,0.34,0.49,0.83,0.348,7.5,0.3,3.6,12144
Paul DeJong,Cardinals,154,665,595,149,32,1,30,87,91,53,161,11,7,3,0.251,0.321,0.46,0.781,0.328,3.9,0.5,3.5,18015
DJ LeMahieu,Yankees,154,665,602,174,30,2,18,95,75,50,96,4,6,3,0.289,0.345,0.438,0.783,0.333,5.1,-0.8,3.5,9874
Ramon Laureano,Athletics,141,609,546,142,32,2,25,81,78,46,159,10,17,5,0.261,0.326,0.464,0.789,0.332,2.1,2.4,3.5,17128
Andrelton Simmons,Angels,146,630,582,161,30,2,12,71,70,39,57,4,12,4,0.277,0.324,0.395,0.719,0.307,12.6,0.2,3.5,10847
J.D. Martinez,Red Sox,152,658,580,172,35,2,38,99,115,69,153,4,3,1,0.297,0.372,0.562,0.934,0.382,0,-2.4,3.4,6184
Vladimir Guerrero Jr.,Blue Jays,143,616,551,160,33,2,26,80,94,55,97,5,3,2,0.29,0.356,0.5,0.856,0.358,-3.4,-1.6,3.3,19611
Buster Posey,Giants,125,498,445,122,25,1,9,53,51,45,71,5,2,1,0.273,0.344,0.397,0.741,0.318,8,-1.8,3.3,9166
Eugenio Suarez,Reds,151,651,565,145,25,2,37,87,104,71,172,9,4,2,0.257,0.347,0.504,0.851,0.354,-0.7,-1.7,3.3,12552
Michael Conforto,Mets,139,602,510,129,27,1,31,82,90,78,145,9,6,3,0.254,0.359,0.491,0.851,0.356,0.6,0.6,3.3,16376
Byron Buxton,Twins,136,588,534,136,33,5,20,80,76,40,157,6,25,5,0.254,0.311,0.45,0.761,0.319,8.2,4.6,3.2,14161
Paul Goldschmidt,Cardinals,157,679,582,156,29,2,30,94,94,86,166,6,7,3,0.267,0.365,0.48,0.845,0.355,2.5,1,3.2,9218
Tommy Pham,Padres,146,630,541,147,27,3,23,90,71,77,135,7,20,6,0.271,0.367,0.462,0.829,0.352,1.4,1.5,3.2,2967
Brian Anderson,Marlins,154,665,586,153,34,3,20,79,77,59,143,14,5,2,0.26,0.34,0.431,0.771,0.329,4,0,3.1,18289
Jorge Polanco,Twins,152,658,591,166,35,6,19,88,82,54,109,4,7,4,0.281,0.343,0.457,0.8,0.337,-6.6,0.4,3.1,13152
Austin Meadows,Rays,138,595,535,145,30,5,27,80,83,49,124,6,14,6,0.27,0.336,0.495,0.831,0.344,1.4,0.4,3,15672
Marcell Ozuna,Braves,147,637,574,160,29,2,31,85,107,57,130,3,8,3,0.278,0.344,0.499,0.844,0.352,2.5,0.5,2.9,10324
Max Muncy,Dodgers,136,588,491,122,22,1,31,86,92,85,151,7,4,1,0.249,0.364,0.487,0.851,0.358,-0.8,1,2.9,13301
Miguel Sano,Twins,139,602,522,127,24,2,41,91,107,72,218,4,1,1,0.243,0.337,0.533,0.869,0.359,1,-1.5,2.9,12164
Luis Robert,White Sox,139,602,557,150,25,7,25,75,78,28,161,10,25,10,0.269,0.313,0.471,0.785,0.328,2.3,0.7,2.9,sa3003396
Rhys Hoskins,Phillies,151,651,540,130,28,3,35,91,101,96,159,9,4,2,0.242,0.362,0.496,0.858,0.359,1.6,0.1,2.8,16472
Nelson Cruz,Twins,144,623,547,152,26,0,40,88,117,61,151,11,1,1,0.277,0.358,0.545,0.903,0.371,0,-3,2.8,2434
Kolten Wong,Cardinals,141,609,531,142,28,4,13,67,63,53,93,15,19,6,0.268,0.349,0.408,0.758,0.324,3.8,2.4,2.8,12532
Kyle Schwarber,Cubs,138,595,509,127,23,3,36,85,92,76,162,5,3,2,0.249,0.35,0.518,0.868,0.357,0.2,-0.1,2.8,16478
Starling Marte,Diamondbacks,149,644,593,169,31,6,22,90,83,32,117,14,28,9,0.285,0.334,0.471,0.804,0.337,-1.7,1.7,2.8,9241
Christian Vazquez,Red Sox,115,456,421,111,22,1,13,53,52,27,83,3,5,2,0.263,0.31,0.417,0.727,0.307,5.5,-1.1,2.7,9774
Eloy Jimenez,White Sox,141,609,562,158,27,3,35,82,99,38,137,5,1,0,0.281,0.329,0.526,0.855,0.353,-5.2,0.5,2.7,17484
Didi Gregorius,Phillies,141,609,563,151,28,4,27,79,92,34,84,5,5,2,0.268,0.313,0.474,0.787,0.327,0.6,1.1,2.7,6012
Victor Robles,Nationals,156,672,599,158,34,4,18,84,77,43,140,20,31,12,0.264,0.331,0.427,0.758,0.322,6.5,1.6,2.6,18363
Shohei Ohtani,Angels,128,553,495,139,27,4,28,78,91,50,147,4,13,5,0.281,0.349,0.522,0.87,0.361,0,0.9,2.6,19755
Eduardo Escobar,Diamondbacks,152,658,598,158,33,7,27,81,97,48,127,5,4,2,0.264,0.321,0.476,0.797,0.33,1.1,0.4,2.6,6153
Gary Sanchez,Yankees,115,456,403,98,17,1,31,65,84,43,120,7,1,1,0.243,0.324,0.52,0.844,0.348,-4.5,-0.5,2.5,11442
Adalberto Mondesi,Royals,149,644,599,151,29,10,19,81,79,31,178,3,51,12,0.252,0.289,0.427,0.716,0.299,4.7,6.1,2.5,13769
Mark Canha,Athletics,141,609,525,130,28,3,27,82,79,62,142,16,4,2,0.247,0.343,0.464,0.807,0.341,-1.6,-0.4,2.5,11445
Lorenzo Cain,Brewers,141,609,544,150,27,2,13,77,53,53,104,6,18,6,0.277,0.345,0.402,0.748,0.322,6.4,1.1,2.5,9077
Michael Brantley,Astros,141,609,551,160,33,2,18,81,81,47,67,5,6,2,0.291,0.349,0.456,0.805,0.34,-0.2,0.1,2.5,4106
Jorge Soler,Royals,151,651,563,144,29,1,37,87,96,75,178,8,4,1,0.257,0.35,0.507,0.857,0.358,-0.1,-0.4,2.5,14221
Luis Arraez,Twins,130,560,505,157,28,2,6,70,49,47,44,2,5,3,0.311,0.37,0.409,0.779,0.336,-2.2,0.3,2.5,18568
Keston Hiura,Brewers,144,623,564,153,34,4,29,83,91,43,163,12,15,7,0.271,0.333,0.497,0.83,0.346,-6,0.1,2.5,20003
Brandon Lowe,Rays,134,581,519,127,28,3,23,71,76,51,166,6,7,3,0.245,0.319,0.444,0.763,0.322,0,1.3,2.5,18882
Kyle Seager,Mariners,141,609,547,135,30,1,26,70,83,51,122,6,3,2,0.246,0.315,0.446,0.761,0.32,1.2,-0.9,2.5,9785
Carlos Santana,Indians,154,665,557,143,30,2,28,91,93,99,104,4,3,1,0.257,0.37,0.469,0.839,0.353,0.5,-0.3,2.5,2396
Willy Adames,Rays,147,637,572,145,25,3,19,73,68,55,161,3,7,4,0.253,0.32,0.408,0.728,0.31,-0.5,0.6,2.5,15986
Joc Pederson,Dodgers,100,434,377,95,20,2,26,66,67,46,94,7,2,2,0.253,0.343,0.525,0.868,0.359,1.6,0,2.5,11899
Andrew Benintendi,Red Sox,149,644,565,153,38,5,17,86,78,65,126,5,13,4,0.271,0.349,0.445,0.795,0.337,2.8,1.3,2.4,17901
Alex Verdugo,Red Sox,125,539,487,144,31,3,15,67,66,43,72,3,7,3,0.296,0.354,0.461,0.814,0.344,3.8,0.5,2.4,17027
Eddie Rosario,Twins,146,630,593,168,34,2,29,89,101,30,104,1,6,3,0.284,0.316,0.495,0.811,0.335,0.4,1.5,2.3,12155
Roberto Perez,Indians,97,384,334,72,13,1,15,39,50,39,113,3,1,0,0.216,0.301,0.394,0.695,0.297,7.1,-0.7,2.3,2900
Adam Eaton,Nationals,143,616,536,152,27,6,13,86,57,59,104,12,13,4,0.284,0.365,0.428,0.794,0.342,2.1,2,2.3,11205
Mike Moustakas,Reds,146,630,568,149,30,1,37,82,102,51,108,6,3,1,0.263,0.328,0.513,0.84,0.346,-5.9,-1.6,2.3,4892
Whit Merrifield,Royals,156,672,615,175,37,6,14,87,63,44,112,5,23,8,0.285,0.335,0.43,0.766,0.324,-1.6,2,2.3,11281
Amed Rosario,Mets,152,658,613,168,30,8,15,76,69,34,120,4,21,10,0.275,0.315,0.423,0.738,0.311,-2,1.1,2.2,15518
Will Smith,Dodgers,105,416,366,84,16,1,21,53,65,40,109,6,3,1,0.23,0.312,0.456,0.767,0.322,0.9,0.2,2.2,19197
Matt Carpenter,Cardinals,123,532,445,106,26,2,20,72,59,75,132,6,4,1,0.238,0.353,0.443,0.796,0.338,-3.9,0,2.2,8090
Nick Ahmed,Diamondbacks,149,644,582,146,33,5,19,72,80,49,121,4,8,3,0.25,0.309,0.424,0.733,0.308,5.1,0.4,2.2,12147
Kevin Kiermaier,Rays,113,490,445,107,20,6,14,59,54,34,111,6,16,6,0.241,0.302,0.411,0.713,0.301,8,2,2.2,11038
Jonathan Villar,Marlins,151,651,582,151,27,3,17,81,61,58,164,4,37,10,0.259,0.328,0.406,0.734,0.315,-2.4,3.4,2.2,10071
J.P. Crawford,Mariners,149,644,560,130,26,4,14,71,62,71,141,6,8,4,0.232,0.323,0.367,0.691,0.301,0.8,0.4,2.1,15491
Gavin Lux,Dodgers,130,560,506,135,24,6,19,70,71,47,121,2,9,5,0.267,0.33,0.447,0.777,0.328,-1.4,-0.2,2.1,19955
Carson Kelly,Diamondbacks,107,422,365,91,19,0,15,49,50,49,81,4,1,0,0.249,0.342,0.424,0.767,0.323,1.4,-0.3,2.1,13620
Josh Bell,Pirates,154,665,573,156,34,4,30,89,104,82,125,4,2,2,0.272,0.364,0.501,0.865,0.359,-5.2,-2.4,2.1,13145
Trent Grisham,Padres,118,511,439,107,19,5,18,65,56,62,109,4,9,4,0.243,0.339,0.429,0.768,0.327,2.4,0.3,2.1,18564
Jean Segura,Phillies,134,581,537,155,30,3,14,76,59,31,72,6,14,5,0.289,0.334,0.433,0.767,0.325,0.2,1.2,2.1,5933
Joey Votto,Reds,151,651,544,148,30,1,20,85,72,95,120,6,4,1,0.272,0.383,0.443,0.826,0.353,1.7,-2.7,2.1,4314
Tim Anderson,White Sox,152,658,623,171,32,2,22,84,75,24,150,4,19,6,0.275,0.305,0.442,0.746,0.313,-7.2,1.5,2.1,15172
Andrew McCutchen,Phillies,131,567,483,124,23,2,25,80,72,74,126,5,7,4,0.257,0.358,0.469,0.828,0.35,-1.2,-1.1,2.1,9847
Cavan Biggio,Blue Jays,138,595,503,115,22,3,20,76,67,82,162,4,13,5,0.228,0.339,0.403,0.741,0.32,1.9,1.3,2,19252
Giovanny Urshela,Yankees,131,567,528,145,29,0,20,70,76,28,101,5,2,1,0.275,0.315,0.445,0.76,0.319,0.9,-1.2,2,10681
Jackie Bradley Jr.,Red Sox,138,595,521,124,30,4,21,75,72,56,155,11,10,4,0.238,0.323,0.428,0.75,0.318,1.4,1.2,1.9,12984
Mitch Garver,Twins,97,384,338,85,18,1,17,54,57,39,94,3,1,0,0.251,0.333,0.468,0.801,0.337,-3.4,-0.3,1.9,15161
David Peralta,Diamondbacks,138,595,538,149,31,4,20,74,75,46,118,6,3,1,0.277,0.339,0.462,0.801,0.336,2.4,0,1.9,2136
Danny Jansen,Blue Jays,84,333,294,71,15,1,10,39,40,29,61,6,2,1,0.241,0.319,0.405,0.724,0.31,0.7,0.1,1.9,16535
Trey Mancini,Orioles,152,658,592,161,31,3,31,86,92,53,150,7,1,0,0.273,0.338,0.491,0.828,0.346,-5.1,-0.3,1.9,15149
Adam Frazier,Pirates,130,560,504,140,29,5,10,68,53,42,73,7,7,5,0.278,0.34,0.416,0.756,0.322,0.6,-0.1,1.9,15223
Kyle Tucker,Astros,99,427,384,98,20,2,20,62,64,35,98,4,17,5,0.256,0.322,0.471,0.793,0.331,2.6,1.3,1.9,18345
Jason Castro,Angels,97,384,334,72,15,1,13,44,41,42,121,4,1,0,0.216,0.309,0.384,0.692,0.299,1.8,-0.8,1.9,8722
Brandon Nimmo,Mets,115,497,409,96,21,4,15,64,51,73,134,11,6,3,0.234,0.362,0.41,0.771,0.334,-4.6,0.5,1.9,12927
Yadier Molina,Cardinals,110,435,401,104,20,0,12,44,54,23,65,6,5,1,0.261,0.307,0.403,0.71,0.301,4.6,-1.8,1.9,7007
Dansby Swanson,Braves,146,630,561,142,30,4,17,75,73,58,142,4,10,5,0.252,0.324,0.413,0.737,0.311,0.1,1.3,1.8,18314
Sean Murphy,Athletics,97,384,346,84,19,1,14,46,46,29,86,5,2,1,0.244,0.307,0.424,0.732,0.309,1.9,0.4,1.8,19352
Edwin Encarnacion,White Sox,130,560,481,117,18,0,34,81,95,66,127,8,1,1,0.243,0.341,0.494,0.835,0.349,0,-2.3,1.8,2151
Yandy Diaz,Rays,122,525,457,123,23,2,10,65,50,61,102,3,4,2,0.27,0.356,0.396,0.752,0.326,-1.1,-0.4,1.8,16578
Jurickson Profar,Padres,125,539,474,116,26,3,17,65,62,52,81,9,8,2,0.246,0.329,0.422,0.75,0.32,-0.2,0.9,1.8,10815
Mike Zunino,Rays,107,422,379,77,17,0,19,45,54,33,144,6,1,0,0.204,0.276,0.397,0.673,0.285,1.7,-0.4,1.8,13265
Jonathan Schoop,Tigers,136,588,546,143,29,1,27,74,80,27,132,9,2,1,0.262,0.305,0.471,0.776,0.323,-3,-0.9,1.7,11265
Carter Kieboom,Nationals,123,532,470,121,24,2,15,63,61,51,122,5,5,2,0.257,0.335,0.415,0.749,0.32,2.9,0.2,1.7,19958
Brandon Belt,Giants,126,546,464,114,28,3,17,66,59,73,122,4,4,2,0.246,0.351,0.426,0.777,0.332,4.9,-0.3,1.7,10264
Luis Urias,Brewers,117,504,441,111,22,4,13,59,60,48,106,9,5,2,0.251,0.336,0.405,0.741,0.319,0.4,-0.1,1.7,16622
Justin Upton,Angels,144,623,547,130,25,1,32,82,96,66,189,5,6,2,0.237,0.323,0.461,0.783,0.329,-2.7,0.5,1.7,5222
Brett Gardner,Yankees,118,511,450,111,19,4,16,70,55,50,99,5,11,3,0.247,0.327,0.418,0.745,0.318,-1.6,2,1.7,9927
Charlie Blackmon,Rockies,143,616,556,165,31,6,27,99,76,45,111,8,7,4,0.296,0.356,0.52,0.876,0.364,-3.5,-0.6,1.7,7859
Jacob Stallings,Pirates,86,339,309,80,19,0,7,34,35,21,64,5,1,1,0.259,0.313,0.387,0.7,0.297,2.8,-0.2,1.7,13723
Cesar Hernandez,Indians,133,574,508,138,23,3,11,69,54,56,100,4,10,4,0.272,0.347,0.393,0.74,0.319,-0.7,0.4,1.7,10556
C.J. Cron,Tigers,128,553,501,132,27,1,29,67,82,35,120,12,1,1,0.263,0.322,0.494,0.816,0.339,1.6,-1.3,1.6,12546
Salvador Perez,Royals,136,547,514,129,26,1,27,61,80,20,111,9,2,0,0.25,0.287,0.462,0.749,0.31,6.4,-2,1.6,7304
Jason Heyward,Cubs,122,525,463,119,22,4,14,63,60,53,87,4,6,3,0.257,0.337,0.411,0.748,0.32,5.8,0.9,1.6,4940
Nick Madrigal,White Sox,110,476,435,123,22,3,5,52,41,28,25,7,20,10,0.282,0.333,0.379,0.713,0.307,3.6,-0.3,1.6,sa3008139
Jose Abreu,White Sox,149,644,587,160,34,2,30,79,100,39,137,12,2,1,0.272,0.327,0.487,0.814,0.338,-2.5,-1.8,1.6,15676
Bryan Reynolds,Pirates,149,644,579,160,33,5,17,82,73,52,142,6,6,3,0.277,0.34,0.439,0.779,0.331,-3.2,0,1.6,19326
Brandon Crawford,Giants,134,581,520,128,27,3,13,58,64,50,120,4,4,3,0.246,0.315,0.385,0.701,0.297,3.6,-0.6,1.6,5343
Franmil Reyes,Indians,136,588,528,136,24,1,37,81,101,52,166,2,1,1,0.258,0.324,0.515,0.84,0.347,0,-0.6,1.5,14566
Tyler Flowers,Braves,66,262,228,52,10,1,8,27,30,25,79,8,0,0,0.229,0.322,0.385,0.707,0.304,0.5,-0.5,1.5,9134
Tom Murphy,Mariners,125,499,460,101,21,3,21,53,62,30,169,4,3,2,0.219,0.271,0.415,0.687,0.288,0.3,0.2,1.5,13499
Yoshitomo Tsutsugo,Rays,110,476,414,104,21,1,23,61,66,56,120,2,1,0,0.251,0.341,0.469,0.81,0.34,-0.2,-0.1,1.5,27459
Hunter Dozier,Royals,149,644,578,145,33,6,25,76,84,58,173,3,4,2,0.252,0.321,0.457,0.778,0.326,-1.9,-0.9,1.5,15117
Jeimer Candelario,Tigers,104,448,392,94,22,2,14,53,49,46,109,6,3,1,0.24,0.327,0.419,0.745,0.318,2.1,0.3,1.5,13621
Willson Contreras,Cubs,105,416,363,93,19,2,17,50,58,42,100,7,3,2,0.256,0.342,0.458,0.8,0.338,-1.5,-1.3,1.5,11609
Stephen Piscotty,Athletics,104,448,400,104,24,1,17,55,60,37,93,6,2,1,0.26,0.33,0.455,0.785,0.332,-0.4,-0.5,1.5,13367
Harrison Bader,Cardinals,97,380,334,80,14,2,13,46,42,33,110,8,10,4,0.238,0.32,0.41,0.73,0.31,4.8,0.9,1.5,18030
Yasiel Puig,,104,448,403,107,21,2,20,56,66,37,93,4,12,5,0.265,0.33,0.471,0.801,0.335,1.4,-0.6,1.5,14225
Yuli Gurriel,Astros,149,644,598,170,39,2,23,81,96,32,75,7,5,2,0.285,0.326,0.471,0.797,0.333,-3.5,-1.4,1.5,19198
Luke Voit,Yankees,105,455,394,102,18,1,20,61,64,51,118,7,0,1,0.258,0.351,0.463,0.814,0.345,-0.9,-0.7,1.5,14811
Miguel Rojas,Marlins,125,539,494,134,26,1,8,54,49,31,65,6,8,4,0.271,0.321,0.377,0.698,0.299,3.7,-1.2,1.5,7802
Robinson Cano,Mets,128,553,506,134,32,0,16,62,65,38,88,6,0,0,0.266,0.322,0.427,0.748,0.315,-1.6,-1.7,1.5,3269
Randal Grichuk,Blue Jays,130,560,516,125,31,4,30,72,84,34,153,6,3,2,0.242,0.295,0.492,0.787,0.325,-3.9,0,1.5,10243
Nick Solak,Rangers,109,469,419,114,19,2,16,60,61,40,102,6,6,2,0.271,0.341,0.444,0.785,0.333,-1.9,0.2,1.5,19294
Jose Iglesias,Orioles,138,595,557,149,31,3,10,62,60,26,73,6,10,5,0.267,0.305,0.384,0.689,0.293,4.3,-0.4,1.5,10231
Tommy Edman,Cardinals,117,484,446,121,21,6,10,58,47,28,82,5,15,4,0.272,0.319,0.414,0.733,0.311,3.7,2.3,1.4,19470
Evan Longoria,Giants,125,539,491,124,26,3,19,58,69,36,110,6,3,1,0.253,0.309,0.432,0.741,0.311,0.2,-0.3,1.4,9368
Kole Calhoun,Diamondbacks,134,581,508,125,26,2,23,76,74,62,137,5,4,2,0.246,0.332,0.445,0.777,0.327,2.4,-0.2,1.4,11200
Austin Hays,Orioles,115,497,465,118,24,2,21,60,66,23,109,5,9,5,0.254,0.294,0.45,0.744,0.311,1.2,-0.2,1.4,19363
Nick Castellanos,Reds,139,602,549,152,41,4,26,80,84,43,141,5,2,2,0.277,0.333,0.508,0.84,0.349,-7.8,-0.4,1.4,11737
Shogo Akiyama,Reds,110,476,427,117,22,3,13,56,53,41,84,4,8,5,0.274,0.341,0.431,0.771,0.328,-1.2,-0.8,1.4,27461
Mike Tauchman,Yankees,87,378,335,86,17,2,11,47,44,35,81,3,8,4,0.255,0.328,0.418,0.746,0.317,5.1,0,1.4,15274
Travis d'Arnaud,Braves,91,360,326,84,16,0,13,42,53,27,71,2,1,1,0.256,0.315,0.428,0.743,0.314,-0.3,-0.6,1.4,7739
Kevin Newman,Pirates,131,567,523,146,26,5,9,61,54,32,73,5,16,7,0.279,0.325,0.398,0.723,0.308,-1.8,0.1,1.4,17696
Elvis Andrus,Rangers,152,658,605,165,33,4,13,80,71,41,99,4,23,9,0.272,0.32,0.405,0.725,0.309,-2.4,1.7,1.4,8709
David Fletcher,Angels,118,511,469,129,25,3,5,59,43,33,56,3,8,3,0.275,0.325,0.375,0.7,0.302,2.8,0.4,1.4,17992
Hunter Renfroe,Rays,123,532,485,113,24,1,29,65,81,38,159,4,4,1,0.233,0.291,0.468,0.76,0.314,2.7,-0.1,1.4,15464
Mike Yastrzemski,Giants,136,588,525,128,29,4,20,71,66,51,151,5,6,4,0.244,0.315,0.428,0.743,0.313,2.9,-0.1,1.4,14854
Mitch Haniger,Mariners,78,336,293,74,16,1,14,44,42,34,84,6,4,1,0.251,0.337,0.459,0.796,0.336,1.3,-0.1,1.4,14274
Hanser Alberto,Orioles,139,602,571,162,24,2,13,64,58,18,58,4,5,4,0.283,0.308,0.404,0.712,0.301,3.7,-1,1.4,11902
Wilson Ramos,Mets,107,422,385,105,18,0,14,44,59,32,65,2,1,0,0.274,0.33,0.433,0.763,0.322,-3.2,-2.4,1.4,1433
Travis Shaw,Blue Jays,107,462,398,92,19,0,22,58,62,56,116,4,3,1,0.231,0.329,0.442,0.771,0.325,2.7,-0.2,1.3,11982
Khris Davis,Athletics,147,637,566,135,23,1,38,84,108,58,182,7,1,0,0.239,0.315,0.486,0.801,0.332,0,-1.4,1.3,9112
Martin Maldonado,Astros,92,365,327,71,14,0,11,39,39,24,93,8,1,1,0.216,0.286,0.364,0.65,0.279,3.1,-1,1.3,6887
