RANK,PLAYER,TEAM,LEAGUE,POS,CAT,AGE,BLURB,ETA,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP
36,Eloy Jimenez,CHW,AL, OF,Batter,23.4,Elite exit velocity and 31 homers in 122 games proves the power wasnt over-hyped. Has the ability to hit for both power and average when his K% comes down; and his minor league numbers suggest it will.,,88,33,99,0.283,0.335,0.53,1,,,,,,,,,,,,,,,,,,,
37,Luis Robert,CHW,AL, OF,Batter,22.8,New $50 million contract has Roberts hype skyrocketing. I already had him ranked #2 overall because of the elite power/speed combo; but a 24.7% K% and 4.9% BB% at Triple-A is almost all you need to know to realize the road to fantasy glory might not be a completely straight line.,,72,27,83,0.254,0.306,0.471,19,,,,,,,94,34,101,0.277,0.339,0.521,25,,,,,,
38,Freddie Freeman,ATL,NL, 1B,Batter,30.7,Underlying numbers are very similar to his past two seasons when he put up 28 and 23 homers; respectively; but this season he managed to knock 38 homers. For reference; he hit 34 homers in 2016; but his exit velocity was about 2 MPH higher than 2017-2019. Freeman might be the clearest example of the impact of the juiced ball.,,95,31,105,0.298,0.391,0.543,5,,,,,,,,,,,,,,,,,,,
39,Ketel Marte,ARI,NL, 2B/OF,Batter,26.6,From my 2019 Top 1;000: ú13.7% K%; 9.3% BB%; 88.6 MPH average exit velocity; 92 MPH on FB/LD; and 28.7 ft/sec sprint speed. If he can start lifting the ball more and add some strength as he enters his mid to late 20s; there is a 5-category stud lurking in here.ù ¶ Marte added 1.3 MPH to his exit velocity and 5.8 degrees to his launch angle en route to a beastly 5-category season.,,93,26,88,0.293,0.352,0.512,9,,,,,,,,,,,,,,,,,,,
40,Carlos Correa,HOU,AL, SS,Batter,25.6,In the midst of a power breakout but rib and back injuries limited him to only 25 games after May. A back injury tanked his 2018 season as well; so its a legitimate concern.,,90,32,105,0.283,0.362,0.527,3,,,,,,,,,,,,,,,,,,,
41,Adalberto Mondesi,KC,AL, SS,Batter,24.8,Underwent labrum surgery on October 3rd; with a 5-6 month recovery. Major surgeries that ruin your normal off-season routine is not a recipe for a breakout season.,,78,16,74,0.255,0.299,0.422,41,,,,,,,93,23,86,0.274,0.329,0.446,49,,,,,,
42,Shohei Ohtani,LAA,AL, RHP/OF,Both,25.9,Power and strikeouts ¶ and strikeouts. The plan is for 1 start and 3-4 DH days per week. In weekly lineup leagues drop him down 100 spots because he can likely be viewed only as a 130 IP starter at peak.,,46,17,52,0.277,0.349,0.511,9,7,3.55,1.2,123,0,100,,,,,,,,,,,,,
43,Kris Bryant,CHC,NL, 3B/OF,Batter,28.3,Exit velocity is just not what it was in 2015 and 2016 when Bryant looked to be on the verge of becoming a perennial top 5 pick. I guess well have to settle for merely very; very good.,,110,32,80,0.283,0.381,0.509,5,,,,,,,,,,,,,,,,,,,
44,Matt Chapman,OAK,AL, 3B,Batter,26.11,Career low 21.9% K%; but a 3.6% jump in infield fly ball rate negated any possible batting average gains (.249 BA with a .270 BABIP).,,105,38,96,0.268,0.355,0.529,2,,,,,,,,,,,,,,,,,,,
45,Mike Clevinger,CLE,AL, RHP,Pitcher,29.3,Upper back strain and sprained ankle caused Clevinger to miss almost the entire first half. Notched a career high 95.6 MPH fastball velocity; but that was on a steady decline as the season wore on.Update:Surgery to repair a partial tear of his medial meniscus with keep Clevinger out for at least the first few weeks of 2020.,,,,,,,,,12,3.31,1.14,189,0,160,,,,,,,,,,,,,
46,Stephen Strasburg,WAS,NL, RHP,Pitcher,31.8,Dominant; as usual; but he did it in a different way by upping his groundball percentage with increased sinker and curveball usage. Staying healthy all season is probably the most notable thing of all.,,,,,,,,,15,3.43,1.1,220,0,185,,,,,,,,,,,,,
47,Jo Adell,LAA,AL, OF,Batter,21,Elite athlete with double plus power. 32.6% K% and 0 homers in 27 games at Triple-A likely ensures at least a couple months of development time there in 2020.,JULY,39,13,45,0.25,0.301,0.459,6,,,,,,,101,37,108,0.271,0.353,0.538,13,,,,,,
48,Blake Snell,TB,AL, LHP,Pitcher,27.4,Missed two months after undergoing arthroscopic elbow surgery in July to remove loose bodies. Velocity was down on all of his pitches; but still among the hardest throwers in baseball. Bloated 4.29 ERA was at least partly due to a .343 BABIP.Update:Received a cortisone shot in his pitching elbow which he labeled as precautionary and is unsure of his status for opening day.,,,,,,,,,12,3.37,1.18,214,0,168,,,,,,,,,,,,,
49,Justin Verlander,HOU,AL, RHP,Pitcher,37.1,Even at 37 years old Verlander is such a difference maker that he is worth a true elite prospect back in a trade. The cliff often doesnt come with advanced warning; though; that is why they call it the cliff; and not the ramp.,,,,,,,,,17,3.08,1.01,270,0,208,,,,,,,,,,,,,
50,Max Scherzer,WAS,NL, RHP,Pitcher,35.8,Back issues held Scherzer to his lowest innings pitched total since his rookie year in 2009. He also didnt pitch as well when he returned from the injury (4.81 ERA in 43 IP).,,,,,,,,,16,3.09,1.04,261,0,203,,,,,,,,,,,,,
51,Jose Altuve,HOU,AL, 2B,Batter,29.11,Career high K% (15%); career low stolen base total (6); and while Altuve hit a career high 31 homers; there wasnt any significant improvements in exit velocity or flyball percentage to truly back up the power surge.,,99,26,82,0.292,0.351,0.49,13,,,,,,,,,,,,,,,,,,,
52,JD Martinez,BOS,AL, OF,Batter,32.7,Best case scenario hesNelson Cruzand there is 7+ years of production left. Worst case scenario hesAlbert Pujolsand this 32 year old season is the beginning of the end.,,101,38,112,0.308,0.38,0.57,3,,,,,,,,,,,,,,,,,,,
53,Chris Paddack,SD,NL, RHP,Pitcher,24.3,Plus fastball/changeup combo is good enough; but continued development of the curveball can take him to the next level.,,,,,,,,,13,3.58,1.09,190,0,170,,,,,,,,,,,,,
54,Starling Marte,ARI,NL, OF,Batter,31.6,Career low 16% K%. Sprint speed is as good as ever but relying on speed as players get deeper into their 30s is risky.,,94,20,77,0.289,0.339,0.462,28,,,,,,,,,,,,,,,,,,,
55,Kyle Tucker,HOU,AL, OF,Batter,22.4,Sprint speed improved from below average in 2018 to above average in 2019. The power was never in question; but now there is hope the steals might transfer too.,,71,24,77,0.251,0.325,0.476,11,,,,,,,94,33,101,0.265,0.348,0.513,15,,,,,,
56,Victor Robles,WAS,NL, OF,Batter,22.1,81 MPH average exit velocity is cover your eyes bad. EvenStephen Strasburgmanaged to put up a 82.5.Jose Altuvehas proven there is a path to strong power numbers with below average exit velocity (86.1 MPH); but Robles has to improve to reach even that level.,,91,20,73,0.272,0.334,0.439,27,,,,,,,,,,,,,,,,,,,
57,George Springer,HOU,AL, OF,Batter,30.6,While his 2019 is likely a juiced ball aided career year; the strong underlying numbers dont rule out the possibility of a repeat.,,104,33,95,0.28,0.369,0.525,7,,,,,,,,,,,,,,,,,,,
58,Matt Olson,OAK,AL, 1B,Batter,26,Elite exit velocity power hitting beast.,,93,38,105,0.256,0.345,0.537,1,,,,,,,,,,,,,,,,,,,
59,Giancarlo Stanton,NYY,AL, OF,Batter,30.5,Limited to 18 games due to a variety of injuries; but performed like himself in those games with a 100.3 MPH FB/LD exit velocity.Update:Suffered a grade 1 calf strain which puts his status for opening day in question.,,95,43,109,0.261,0.352,0.546,3,,,,,,,,,,,,,,,,,,,
60,Josh Bell,PIT,NL, 1B,Batter,27.8,Career high 37.3% FB% and 92.3 MPH exit velocity is evidence the power breakout is for real.,,90,32,106,0.273,0.361,0.528,1,,,,,,,,,,,,,,,,,,,
61,Ramon Laureano,OAK,AL, OF,Batter,25.9,Plus power/speed combo but a 25.6% K% and 5.6% BB% shows he is not without risk.,,89,27,84,0.265,0.334,0.486,16,,,,,,,,,,,,,,,,,,,
62,Tim Anderson,CHW,AL, SS,Batter,26.9,Career low 21% K% and career high 88.3 MPH exit velocity; along with a little BABIP luck; led to a breakout season; slashing .335/.357/.508 with 18 homers and 17 steals in 123 games.,,90,23,72,0.282,0.321,0.468,21,,,,,,,,,,,,,,,,,,,
63,Patrick Corbin,WAS,NL, LHP,Pitcher,30.8,Backed up 2018s breakout with another strong year on the back of his elite slider. Velocity up about 1 MPH on each pitch.,,,,,,,,,14,3.5,1.19,231,0,197,,,,,,,,,,,,,
64,Gavin Lux,LAD,NL, 2B/SS,Batter,22.4,I tried to tell you last off-season that Lux was being underrated; writing; úMe thinks Lux is still being a bit underrated right now.ù He isnt underrated anymore.,,78,19,74,0.272,0.334,0.451,11,,,,,,,98,28,93,0.283,0.356,0.495,14,,,,,,
65,Chris Sale,BOS,AL, LHP,Pitcher,31,Inflammation in pitching elbow ended Sales season in August. Fastball was down 2 MPH and put up a career worst 4.40 ERA; but he still managed to strikeout 218 batters in 147.1 IP.,,,,,,,,,13,3.29,1.02,234,0,165,,,,,,,,,,,,,
66,Julio Rodriguez,SEA,AL, OF,Batter,19.3,Advanced beyond his years feel to hit which he displayed at Full-A (.293 BA); High-A (.462 BA); and the Fall League (.288 BA). Add to that at least plus raw power and you have one of the most coveted prospects in baseball.,Late 2021,,,,,,,,,,,,,,96,35,109,0.29,0.368,0.55,8,,,,,,
67,Charlie Blackmon,COL,NL, OF,Batter,33.9,Career low 26.7 ft/sec sprint speed doesnt leave much hope for a stolen base bounce back (2 steals in 2019); but he has never hit the ball harder with a career high 88.5 MPH exit velocity.,,106,33,84,0.307,0.362,0.539,6,,,,,,,,,,,,,,,,,,,
68,Luis Castillo,CIN,NL, RHP,Pitcher,27.4,Fireballing groundball pitcher with the most valuable changeup in baseball.,,,,,,,,,13,3.63,1.19,214,0,188,,,,,,,,,,,,,
69,Lucas Giolito,CHW,AL, RHP,Pitcher,25.9,Fastball velocity jumped 1.8 MPH to 94.6 MPH and changeup became an elite pitch. Grandal and his plus pitch framing should counteract any regression concerns.,,,,,,,,,13,3.69,1.17,226,0,185,,,,,,,,,,,,,
70,MacKenzie Gore,SD,NL, LHP,Pitcher,21.1,Potential for 4 plus pitches with plus control. Destroyed Hi-A with a silly pitching line of 1.02/0.71/110/20/ in 79.1 IP.,JULY,,,,,,,,6,3.82,1.26,83,0,78,,,,,,,,17,3.22,1.03,240,0,200
71,Anthony Rizzo,CHC,NL, 1B,Batter,30.8,As consistent as they come.,,91,30,97,0.288,0.381,0.513,5,,,,,,,,,,,,,,,,,,,
72,Marcus Semien,OAK,AL, SS,Batter,29.6,Major breakout in basically every underlying stat and surface stat you look at. Some regression is likely; but the breakout was real.,,107,29,76,0.279,0.36,0.499,11,,,,,,,,,,,,,,,,,,,
73,Joey Gallo,TEX,AL, OF,Batter,26.4,Has 281 hits in his career and 110 of them are homers. 38.4% K% still makes Gallo a huge average risk; but he also led the league in exit velocity on FB/LD at 101.2 MPH.,,94,45,96,0.234,0.356,0.549,4,,,,,,,,,,,,,,,,,,,
74,Michael Conforto,NYM,NL, OF,Batter,27.1,Struggles vs. lefties is only true blemish (.701 OPS).,,93,30,92,0.263,0.37,0.502,5,,,,,,,,,,,,,,,,,,,
75,Max Kepler,MIN,NL, OF,Batter,27.2,From my 2019 Top 1;000: úPosted career bests in K% (15.7%); BB% (11.6%); FB% (46.2%); and exit velo (89.5 MPH/93.9 MPH FB/LD). Kepler already broke out but it didnt show up in his surface stats last year.ù ¶ It showed up this year; cranking 36 homers in 134 games while maintaining most of the underlying gains he made in 2018.,,93,31,89,0.266,0.349,0.502,3,,,,,,,,,,,,,,,,,,,
76,Max Muncy,LAD,NL, 1B/2B/3B,Batter,29.7,Put any playing time concerns to rest with 589 PA; although the logjam isnt breaking up anytime soon withGavin Luxnow trying to force his way into the lineup.,,97,34,96,0.254,0.37,0.513,3,,,,,,,,,,,,,,,,,,,
77,Jorge Soler,KC,AL, OF,Batter,28.1,Huge power breakout; upping exit velocity 3.1 MPH and ripping 48 homers in 162 games.,,85,33,98,0.261,0.35,0.52,2,,,,,,,,,,,,,,,,,,,
78,Eddie Rosario,MIN,NL, OF,Batter,28.6,Continued his free swinging ways (3.7% BB%) with power (32 homers) and a good feel to hit (14.6% K%).,,84,28,92,0.283,0.316,0.489,6,,,,,,,,,,,,,,,,,,,
79,Jonathan Villar,MIA,NL, 2B/SS,Batter,28.11,Played in all 162 games; compiling 24 homers; 111 runs and 40 steals. Miami moving their fences in will cushion the blow a little bit from leaving Camden.,,85,16,61,0.263,0.331,0.43,34,,,,,,,,,,,,,,,,,,,
80,Tyler Glasnow,TB,AL, RHP,Pitcher,26.7,Forearm strain knocked out most of Glasnows breakout season; but his velocity was fully back when he returned in September. His newfound control did not return; with 8 walks in 19.1 IP (including postseason).,,,,,,,,,10,3.58,1.19,185,0,150,,,,,,,,,,,,,
81,Aaron Nola,PHI,NL, RHP,Pitcher,26.1,Career best K/9 (10.19) and career worst BB/9 (3.56). Exit velocity against jumped to 88.5 MPH after being in the 85s from 2016-2018.,,,,,,,,,14,3.66,1.21,221,0,205,,,,,,,,,,,,,
82,Eugenio Suarez,CIN,NL, 3B,Batter,27.7,Online IQ test question: What is the next number in this sequence - 4; 13; 21; 26; 34; 49; _? That is Suarez season home run totals since entering the league. My fake online IQ of 144 tells meBarry Bondshome run record might be in jeopardy next season.Update:Underwent surgery on his shoulder to remove loose cartilage in late January. There is no timetable; but he is likely to miss at least the start of the season.,,72,27,84,0.266,0.352,0.523,2,,,,,,,,,,,,,,,,,,,
83,Rhys Hoskins,PHI,NL, 1B,Batter,27,Down-ish year when everyone else was experiencing a career year; but the homer/walk profile remains the same.,,96,35,92,0.25,0.371,0.512,3,,,,,,,,,,,,,,,,,,,
84,Lourdes Gurriel Jr.,TOR,AL, OF,Batter,26.6,Took power to another level with 20 homers in 84 games by raising launch angle 3.7 degrees and increasing FB/LD exit velocity 3.2 MPH.,,86,30,94,0.27,0.323,0.492,8,,,,,,,,,,,,,,,,,,,
85,Corey Seager,LAD,NL, SS,Batter,25.11,Career high 39.2% FB% didnt result in a power breakout this season; but it portends good things for the future considering he was able to maintain strong exit velocity and plate approach numbers.,,94,27,92,0.281,0.343,0.496,1,,,,,,,,,,,,,,,,,,,
86,Andrew Benintendi,BOS,AL, OF,Batter,25.9,6.8% K% increase led to a down year across the board. Also has been getting slower every year. I feel more comfortable about a power rebound than I do a stolen base rebound.,,93,21,86,0.279,0.357,0.446,11,,,,,,,,,,,,,,,,,,,
87,Nick Senzel,CIN,NL, OF,Batter,24.8,Underwent surgery to repair a torn labrum in late September which puts his availability for opening day in question. Speed is his best asset right now; but still profiles as an above average all category contributor at peak.,,74,16,66,0.268,0.333,0.44,19,,,,,,,94,24,83,0.278,0.346,0.462,23,,,,,,
88,Jarred Kelenic,SEA,AL, OF,Batter,20.8,Performed well across 3 levels of the minors in his first full season of pro ball; culminating with a 133 wRC+ at Double-A. Above average to plus potential in every category.,2021,,,,,,,,,,,,,,96,25,87,0.283,0.351,0.485,16,,,,,,
89,Clayton Kershaw,LAD,NL, LHP,Pitcher,32,Fastball velocity did not rebound to pre-2018 levels and actually lost another 0.9 MPH; but the slider is as good as ever.,,,,,,,,,14,3.38,1.09,188,0,180,,,,,,,,,,,,,
90,Noah Syndergaard,NYM,NL, RHP,Pitcher,27.7,Much improved changeup became his best secondary pitch but his slider took a step back; losing 2.2 MPH.,,,,,,,,,13,3.73,1.22,196,0,190,,,,,,,,,,,,,
91,Luis Severino,NYY,AL, RHP,Pitcher,26.1,Missed almost entire season with an inflamed rotator cuff and lat strain. Velocity wasnt quite what it was in 2018; but at 96.1 MPH; that is more than enough.Update:Will miss all of 2020 after undergoing Tommy John surgery.,OUT,,,,,,,,,,,,0,,,,,,,,,,,,,,
92,Brandon Woodruff,MIL,NL, RHP,Pitcher,27.2,Third most valuable fastball in baseball behind only Cole and Flaherty.,,,,,,,,,11,3.74,1.2,190,0,165,,,,,,,,,,,,,
93,Jesus Luzardo,OAK,AL, LHP,Pitcher,22.6,Shoulder injury limited Luzardo to just 58 IP at a variety of levels (Rk; Hi-A; Triple-A; MLB playoffs); but he dominated at each stop with 3 plus pitches (mid 90s fastball; curve; and change). He has a chance to be special; but with a career high of 109 IP; it remains to be seen if he can stay healthy and produce for 180+ IP.,,,,,,,,,10,3.68,1.19,160,0,142,,,,,,,,15,3.39,1.11,213,0,183
94,Julio Urias,LAD,NL, LHP,Pitcher,23.8,Announced that he will likely join the rotation in 2020. Ranked first overall in average exit velocity against at 83.2 MPH and fastball jumped 2.1 MPH to 95.2 MPH; including during the starts he made early in the season.,,,,,,,,,11,3.68,1.21,139,0,135,,,,,,,,15,3.39,1.11,198,0,182
95,Frankie Montas,OAK,AL, RHP,Pitcher,27,Found that legitimate third pitch by adding a splitter that he threw 18.2% of the time. With a plus fastball/slider combo already in tow; Montas broke out with a pitching line of 2.63/1.12/103/23 in 96 IP. 80-game PED suspension cut his season short; but he did return for 1 start in September with no noticeable performance decline.,,,,,,,,,13,3.64,1.21,185,0,170,,,,,,,,,,,,,
96,Gary Sanchez,NYY,AL, C,Batter,27.4,Elite power hitter and does it from the scarce catcher position. On the downside; catchers are always more banged up and at risk of shortened careers. Its a give and take.,,69,32,83,0.252,0.333,0.52,0,,,,,,,,,,,,,,,,,,,
97,Marcell Ozuna,ATL,NL, OF,Batter,29.5,Low BABIP (.259) spoiled what could have been a huge season as Ozuna reached a career high 12 steals and 11.3% BB%. If he can repeat those gains in 2020; the upside is there for him to blow up.,,82,31,93,0.268,0.332,0.5,6,,,,,,,,,,,,,,,,,,,
